" ","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019"
"Salary Date",2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31
"Bonus Date",2018-08-15,2018-09-19,2018-10-15,2018-11-15,2018-12-19,2019-01-15,2019-02-15,2019-03-15,2019-04-15,2019-05-15,2019-06-19,2019-07-15
